PctBachDeg25_Over,incidenceRate,PctHS25_Over,povertyPercent,PctPublicCoverageAlone,PctPrivateCoverage,PctUnemployed16_Over,PctHS18_24,deathRate
9.5,408.4,35.4,24.4,27.9,48.5,7.0,42.2,184.68593554490454
11.5,450.9,36.3,15.0,16.8,64.7,9.7,39.8,182.495352867601
7.7,383.8,38.8,19.8,22.5,50.2,10.4,34.9,178.4076369620181
10.1,419.4,32.1,19.9,26.6,56.8,12.2,32.9,180.81933870438164
6.1,480.5,42.6,21.9,35.0,43.7,10.0,35.2,205.18491146559646
20.9,467.5,30.0,5.9,11.0,82.8,4.5,36.9,160.31045749774705
18.5,453.5494221,33.2,9.9,6.1,83.3,1.0,26.3,158.27063244811603
9.8,435.4,41.9,21.7,23.1,50.8,13.2,42.6,193.69039486607014
15.2,453.5494221,34.6,13.5,17.3,72.8,1.7,18.9,165.53963703979565
19.7,424.4,23.4,9.5,10.4,75.0,7.9,30.2,153.9851801085963
13.1,427.7,37.9,17.5,19.3,60.3,4.3,31.1,173.6755531334436
3.2,457.1,43.9,34.9,37.7,39.7,13.3,51.6,220.73862300614277
11.5,509.4,38.5,12.2,13.5,75.2,6.3,33.8,187.7887394798845
21.0,492.0,28.9,9.1,10.3,78.2,6.1,38.1,169.39527212661275
13.6,465.5,36.1,10.0,15.0,70.5,3.6,38.7,174.63817396137
10.3,419.5,27.3,24.5,29.5,51.8,12.7,36.6,184.66653995126376
4.7,411.4,45.6,21.7,25.8,43.9,10.9,37.6,193.4927673811112
6.1,414.7,40.9,26.4,26.1,56.6,9.0,46.9,193.89784649890748
16.4,444.2,28.9,15.3,18.2,65.5,9.4,30.9,171.00763534675656
27.4,473.8,17.1,15.9,10.4,81.2,3.5,18.2,152.17348357814558
16.5,515.1,31.0,17.0,17.6,67.4,4.1,35.1,185.55364046192489
7.6,459.9,48.9,21.8,25.2,52.4,18.1,31.4,203.3341912413601
5.1,482.9,37.6,18.8,24.2,55.9,17.0,28.9,202.06199582114147
13.6,453.5494221,38.3,10.4,14.0,78.6,3.7,33.7,170.40985427711487
11.2,493.6,41.0,12.9,14.1,75.2,5.6,40.1,187.6278091556891
13.0,453.5494221,37.9,12.4,17.1,71.6,4.0,35.1,174.32061903289423
15.3,456.8,37.3,15.7,13.6,62.5,6.3,30.2,176.3132265109742
5.7,323.8,33.3,26.0,22.1,43.6,10.9,39.4,172.88801251682887
11.5,431.6,40.0,12.8,16.8,71.4,5.4,26.1,170.508250852451
8.5,493.7,34.6,45.1,41.4,35.9,8.8,35.9,221.07960901315172
15.1,410.1,37.7,10.0,11.4,77.7,4.6,40.4,161.7050677222765
7.9,486.8,35.9,31.7,25.5,44.7,12.5,20.2,205.89237478080395
8.1,357.1,30.5,16.6,22.1,55.6,5.9,32.1,162.3983106024509
14.1,453.5494221,35.9,13.3,14.5,72.7,7.0,31.1,173.4719506274442
11.8,412.6,41.8,10.7,15.2,72.7,4.1,34.9,166.73024779263537
7.2,479.9,40.8,22.7,27.5,48.6,9.4,36.5,202.55464555406303
7.5,394.3,36.9,20.4,19.0,59.7,4.3,51.2,179.64302391679
12.2,471.7,33.4,15.1,23.2,59.5,13.0,34.0,186.86575019811391
14.8,420.0,39.0,8.7,13.8,78.2,3.5,40.9,163.17020160455436
12.2,495.6,37.3,12.9,18.7,70.7,9.6,30.1,186.33947215506353
12.0,415.6,30.4,14.7,16.2,62.0,9.8,36.2,171.563138462445
11.0,448.1,36.0,11.6,9.4,73.1,5.2,42.1,175.73010998504975
18.3,388.7,23.6,9.9,10.3,67.6,3.4,37.4,148.77333745217663
15.4,388.9,29.2,13.5,15.3,63.0,4.8,48.5,161.56222174859286
14.5,350.1,23.4,18.7,20.5,64.7,8.7,37.9,155.30001247888788
18.1,482.5,39.3,10.7,13.3,77.7,6.5,33.9,174.63501904435265
13.1,412.7,34.9,11.9,20.1,61.1,10.8,37.8,171.00336392572737
9.8,392.3,32.3,19.7,26.7,62.5,10.0,42.1,175.64641860468288
16.9,483.4,31.8,12.6,16.7,71.3,7.8,40.9,178.6886707756629
15.0,504.8,27.7,21.9,19.3,62.4,11.0,32.3,191.56703097591955
7.1,508.0,42.7,27.4,24.3,53.6,10.1,39.6,213.0123501737308
19.0,525.9,26.2,16.1,17.7,73.1,7.2,22.0,180.09430145622088
11.9,468.7,39.1,16.7,19.3,64.7,9.3,36.1,187.0546365865305
12.3,429.4,37.5,18.3,18.4,63.0,9.6,42.8,181.2842601163229
6.7,404.3,40.6,20.5,20.6,57.4,13.2,27.9,183.22073096348774
13.1,493.1,34.3,13.5,14.7,67.6,7.9,40.7,186.51535382530176
30.1,472.1,25.7,14.3,12.6,80.4,5.5,15.4,151.96865223246266
22.2,433.5,25.6,6.1,9.2,83.2,5.9,31.2,149.38685196902867
13.0,521.8,41.1,16.0,17.2,71.9,7.7,35.3,194.85649040979607
10.3,459.3,39.0,13.2,18.5,61.7,5.3,40.3,183.22423884439786
13.1,428.2,38.7,15.0,13.9,74.8,4.6,23.8,167.45545031860348
7.5,502.1,42.6,21.3,23.4,63.2,9.6,39.5,204.78100924357912
17.4,396.8,28.4,16.2,17.1,62.8,6.9,31.9,159.67363318568005
12.2,479.0,42.6,13.8,17.8,67.7,7.7,39.1,187.38242120142962
10.0,406.2,40.0,19.0,23.4,61.4,12.1,32.4,179.22827032566306
8.8,453.5494221,34.5,13.7,13.7,67.6,10.6,47.1,185.9415620561908
14.7,508.7,37.3,16.8,20.4,66.0,7.0,33.0,189.761199371349
19.0,458.4,26.6,12.6,12.4,74.8,4.9,23.3,161.72220508500357
10.8,459.5,38.2,12.9,14.1,65.9,5.5,41.7,181.75403061389076
7.1,471.1,41.7,28.5,26.6,48.4,9.7,44.5,207.87509043542426
10.7,469.5,34.7,18.6,21.5,55.7,7.4,22.5,184.78102341423016
14.7,370.7,31.2,20.7,22.4,64.7,11.1,28.8,162.86069550360935
11.4,528.4,38.8,19.0,21.7,63.4,9.5,39.4,203.18676932195694
17.3,492.4,31.8,13.7,15.5,73.3,7.2,31.0,177.39078782359198
19.0,389.2,32.6,10.6,11.6,77.4,2.0,25.8,146.3552344148284
9.7,464.5,39.1,29.8,28.4,46.4,12.9,41.4,205.472374890549
10.7,463.7,42.7,18.9,19.8,59.6,5.7,46.1,191.7409629475403
30.3,484.1,22.5,5.0,9.5,85.2,4.5,28.5,148.3176586939447
23.3,718.9,22.2,25.9,11.9,76.1,4.3,22.2,219.814021079577
19.1,452.0,22.3,18.1,21.6,63.2,11.8,29.5,171.31456862108706
24.1,429.7,25.2,10.8,12.3,74.3,7.7,31.6,153.0303242580816
15.9,453.5494221,33.8,10.9,16.1,73.4,1.2,18.7,162.08889956859403
9.4,381.0,37.9,28.2,24.1,54.2,9.2,44.1,183.39095070012885
11.5,393.2,34.7,15.0,16.9,59.9,7.9,37.7,168.85101193473633
15.9,471.4,35.8,14.7,15.6,71.8,8.5,36.9,179.30259589997712
8.5,456.6,50.2,16.1,23.3,58.6,8.8,48.4,196.07540196300107
10.7,429.0,37.5,18.0,18.8,61.3,6.8,53.8,184.2970377825505
15.9,398.7,36.2,15.6,18.1,68.3,6.3,13.4,157.48505355043233
9.3,430.4,31.6,17.1,25.0,58.4,12.1,41.2,183.58153440438326
25.8,492.3,23.3,10.4,11.2,81.7,6.4,28.5,160.56642059976164
8.3,515.0,42.3,24.0,23.6,61.0,8.2,37.7,207.64660978937977
16.1,348.1,36.0,14.4,15.9,66.5,7.2,27.5,150.38657741418135
10.8,396.0,40.6,17.8,18.7,63.6,13.7,21.5,172.7822157827129
7.7,520.2,36.6,26.4,24.3,52.1,9.5,40.2,212.0309029323343
10.8,453.5494221,39.9,14.9,22.3,66.3,7.3,42.4,184.4142230821072
13.7,533.3,36.6,12.7,18.7,66.9,7.8,40.9,195.092654547436
5.6,461.5,45.7,24.0,26.8,44.6,14.4,27.5,204.11738804911082
10.4,492.1,39.8,16.2,22.4,68.1,6.4,23.8,187.68797499232517
9.9,399.9,33.7,16.6,19.6,56.4,4.9,34.5,170.67308484210596
8.2,437.0,42.3,22.4,22.6,54.3,6.7,27.5,187.34366565706807
7.2,445.6,38.3,17.7,22.7,57.0,10.5,39.4,190.3868354290586
10.3,433.8,43.8,17.0,17.7,65.5,8.7,45.4,185.28067468062903
12.9,460.7,33.6,19.2,20.5,55.5,13.1,32.6,187.13934004980126
10.0,481.1,31.1,18.9,21.5,58.0,6.9,35.8,189.88071826734705
10.9,457.0,45.5,11.7,18.8,70.8,6.2,45.5,183.99445033669718
19.0,491.5,30.3,7.5,7.9,83.5,7.4,43.6,171.84968238188043
12.0,405.0,36.2,13.5,23.3,54.8,7.5,42.3,172.7108082673395
15.4,361.5,29.1,12.9,15.2,65.9,4.3,36.1,150.93626568066182
7.9,524.4,42.0,26.8,22.2,56.1,6.3,44.1,213.40451560389752
5.7,471.1,39.7,21.1,26.5,49.3,10.0,34.3,200.08834831065877
29.6,463.7,20.6,11.0,15.6,77.7,5.0,15.1,146.59219891757704
19.8,438.3,27.6,14.5,19.1,58.4,10.0,29.4,166.61181896705628
8.9,360.8,27.2,13.7,15.3,63.1,1.8,46.4,158.86392874113722
12.2,505.7,36.3,11.1,17.9,70.6,9.1,37.0,188.39562819989516
15.2,347.2,37.6,10.3,17.4,66.6,6.2,18.2,145.44970756664608
17.9,509.9,34.7,7.4,11.4,82.3,6.3,31.1,174.5853680622344
8.7,480.1,47.4,14.4,17.0,66.7,6.9,39.1,192.88189912375043
10.1,484.9,43.2,16.9,25.3,60.6,5.9,42.0,194.66026016171702
18.1,436.3,30.2,12.3,11.2,75.8,1.2,21.5,156.05053740379012
32.5,438.9,21.1,6.2,8.7,85.2,2.6,28.0,135.6628375532011
9.9,447.1,46.9,13.4,18.3,67.7,7.0,43.2,184.98151163134276
9.4,425.0,48.7,10.1,18.0,71.4,7.5,41.5,178.1935893500958
6.9,480.2,35.4,25.9,27.9,51.6,11.1,35.9,203.61041465568545
21.5,470.8,24.0,17.1,22.0,61.5,10.7,26.7,171.717974706246
11.2,405.2,41.9,16.6,18.7,62.9,7.1,40.0,175.36109060319447
8.2,503.7,34.6,35.2,32.8,48.1,16.4,35.9,218.0561632673093
18.2,416.6,27.3,8.3,14.6,58.4,6.3,37.5,158.63545668694238
8.7,502.9,35.1,14.1,23.1,65.5,8.8,25.5,190.71547502484836
29.6,464.2,16.5,11.3,12.7,75.8,6.3,23.1,148.57593580593613
18.4,500.1,30.2,13.0,20.6,69.1,9.5,29.9,178.98606347587787
13.1,478.4,48.2,15.0,18.7,70.6,6.4,40.5,188.5676639382711
6.9,484.6,42.1,17.3,25.5,60.2,6.8,30.7,194.95878951977951
6.8,438.4,41.3,23.3,26.2,48.3,8.8,57.3,200.3696423778322
19.9,463.3,32.1,10.1,14.5,74.0,6.5,40.3,168.2340793532565
19.4,395.8,27.2,14.9,21.4,59.0,5.8,42.0,159.29411093968207
11.5,447.2,33.7,31.1,26.1,53.1,12.2,25.0,192.5745795225004
11.5,502.1,38.7,26.8,27.1,56.5,11.2,33.2,204.09395822385383
14.1,472.2,38.8,13.4,22.4,64.8,6.6,51.1,185.97099136164485
8.8,421.4,40.8,23.7,27.4,48.9,11.1,40.8,191.60497412246812
13.7,436.0,29.0,19.0,27.1,58.4,10.8,29.2,176.86250903403098
8.1,359.8,37.1,11.2,10.1,56.2,2.2,60.2,166.32875257868167
17.3,484.0,33.1,12.8,17.9,70.0,8.5,33.5,177.67910759285704
12.6,469.0,31.2,16.9,17.9,63.2,6.8,33.7,181.56641503469575
7.7,428.1,39.6,26.4,26.8,52.7,10.3,39.4,194.04852232826084
16.1,450.4,31.1,14.3,13.5,76.1,8.7,50.7,175.79562333429507
7.1,516.0,44.2,16.7,23.1,59.7,6.0,66.2,211.3452050662045
9.5,465.9,35.6,20.4,22.5,59.6,10.3,25.5,188.86886164049508
7.7,492.6,44.5,25.1,34.3,40.0,12.4,37.7,212.0387512253504
15.6,442.9,30.8,17.7,29.2,62.7,10.0,30.0,175.3530092021401
15.9,441.7,27.4,18.1,24.4,57.9,10.8,36.5,176.65981474065438
6.6,323.1,35.2,17.8,12.7,64.1,4.8,34.1,157.12514472172847
9.5,391.5,25.2,28.1,35.0,43.1,12.0,33.5,181.9677485750592
15.9,512.6,30.8,12.3,15.8,68.0,8.3,43.3,186.71280512251676
11.8,475.4,41.5,15.7,20.7,66.4,6.8,40.0,188.13876289060974
15.8,476.1,34.9,8.8,12.9,78.2,5.8,39.2,173.41682620694468
7.9,378.7,40.5,25.9,26.2,51.6,4.4,29.0,176.99092862795678
6.8,463.0,41.6,19.7,16.6,68.7,6.1,29.2,189.1519726800269
18.2,423.7,32.1,10.2,14.6,73.3,8.4,24.5,158.3428081957829
11.3,421.9,41.9,16.5,20.8,63.6,7.6,39.0,178.75800778811788
16.0,524.5,42.8,20.1,16.0,60.6,3.5,53.5,200.73512388069588
14.5,384.9,41.5,13.9,16.1,69.4,1.1,28.0,157.36900144120477
8.7,490.6,42.1,19.9,22.7,63.0,8.9,39.0,199.3873013364073
15.3,401.9,30.4,13.4,15.0,65.6,6.7,30.6,160.33793597990152
13.0,490.5,44.8,11.7,11.8,71.8,6.2,29.9,183.64642731387076
26.2,413.3,17.2,12.7,18.3,67.2,5.9,32.4,146.70432312296842
9.6,473.2,30.5,18.2,28.0,53.1,13.2,45.1,195.62872098986017
17.3,483.8,33.9,8.9,13.6,77.0,6.0,29.0,170.74466923996766
7.7,355.1,22.4,26.5,24.6,36.4,13.1,32.6,174.61536864903715
10.6,493.2,37.0,21.5,23.8,55.4,10.4,32.2,197.7044401793834
13.8,453.5494221,35.7,11.6,14.3,74.8,4.3,31.1,170.41652190558156
9.1,396.7,37.5,27.0,25.6,54.8,14.7,37.5,187.39735613106004
12.9,429.9,41.9,8.0,12.4,78.8,3.3,32.7,165.00012426308092
15.2,519.3,37.2,8.4,10.8,75.8,3.6,49.4,185.54214006654482
11.5,434.5,34.1,14.8,14.8,57.5,6.6,40.2,177.38895344136282
7.1,508.7,43.8,21.3,18.9,60.9,10.3,36.8,206.74585126897324
14.6,475.8,32.8,19.6,20.6,62.4,9.8,32.2,185.38785198798035
9.0,530.4,44.5,30.1,24.7,56.3,6.1,50.8,218.93499414325456
13.3,321.4,39.0,11.2,18.8,69.5,6.8,43.7,150.30067461058945
7.7,464.3,39.3,24.5,25.8,55.6,13.2,35.1,200.12650212215752
9.5,403.8,40.0,13.5,13.3,68.7,4.8,31.3,168.435878969019
16.7,471.3,30.7,10.9,14.9,70.1,10.7,35.4,174.91514665833012
10.3,448.8,42.4,15.9,23.3,63.2,8.2,48.6,188.50218312148178
18.8,573.8,39.7,18.0,19.9,57.7,3.9,40.6,203.02897477014025
10.8,462.3,44.8,16.6,24.7,59.5,9.7,27.2,187.8052010270306
12.3,384.7,36.1,14.5,15.5,70.3,6.0,32.3,161.8608844874577
19.7,417.3,27.2,9.9,9.2,64.4,10.7,44.6,161.77531007805413
11.8,453.5494221,36.0,11.5,21.4,68.5,2.6,29.7,172.5321533648015
9.2,501.5,37.4,13.8,17.6,65.2,3.0,27.0,187.1679511644894
7.5,444.8,41.6,20.1,24.4,57.8,13.7,35.6,193.78284248342553
19.8,487.9,30.2,9.2,9.0,82.9,3.2,28.3,164.79158425273272
21.0,484.4,26.5,17.7,16.4,71.1,6.5,27.4,172.07735011226222
15.3,451.9,28.8,19.7,22.4,64.7,9.4,26.7,176.1435933878652
14.3,474.6,33.5,13.8,20.3,62.7,9.7,33.3,181.57385700350363
6.0,552.9,40.7,19.4,25.4,55.3,7.7,41.9,215.86042464851593
6.9,460.7,38.3,17.0,22.0,59.9,8.3,42.1,192.2392479927163
9.3,488.0,37.1,23.9,24.4,56.1,11.2,39.1,202.060365898115
19.5,480.9,29.3,7.7,15.5,75.8,7.1,33.4,167.648001231023
4.5,460.2,43.3,20.6,27.6,54.5,6.1,40.2,198.44559789252116
10.4,483.9,43.7,10.5,17.3,73.1,5.5,44.5,187.3771444727403
9.8,490.7,38.7,18.3,20.2,67.8,9.2,21.4,190.01939492490715
19.2,373.8,33.8,18.7,16.7,71.6,7.2,21.6,152.66303393569075
23.0,505.0,24.9,8.9,18.9,74.2,7.0,37.2,170.1232152210015
13.3,500.0,39.5,15.8,18.1,70.8,7.8,31.3,188.3793256387119
17.4,404.1,24.1,15.0,14.4,57.2,7.1,59.0,167.36027510239245
13.0,469.6,36.8,17.8,17.9,65.2,7.5,37.5,185.25648879893805
16.6,404.2,33.9,17.2,20.1,59.2,8.2,28.8,165.55170805756003
10.9,453.5494221,35.0,13.2,17.3,63.0,11.9,39.3,183.3260612146659
11.7,453.5494221,35.5,9.7,10.7,79.1,3.9,21.3,166.92255219934646
8.1,463.7,46.2,14.2,19.3,65.6,7.0,29.4,187.02929008385112
10.1,453.5494221,34.3,13.0,18.1,67.3,6.9,29.3,177.10983758487143
18.3,519.9,27.5,16.8,17.9,69.2,8.4,31.3,184.5876263998219
25.1,459.5,18.4,18.6,18.1,67.0,8.8,24.9,161.9713160192203
12.6,438.0,29.9,21.9,24.4,58.1,12.4,30.9,182.15470651622198
5.4,445.5,48.7,16.9,19.3,67.7,5.6,46.4,192.39923046352462
10.3,460.4,38.4,19.5,22.3,62.5,9.5,43.8,191.57101378796858
16.5,453.5494221,32.5,9.5,9.5,81.1,5.6,36.6,165.99274332470904
19.7,463.0,29.7,11.1,17.1,65.9,9.8,29.8,168.76227473906565
15.9,490.8,39.8,11.2,13.7,77.6,6.6,45.6,182.52747964937248
12.3,494.2,39.1,11.0,16.3,72.5,5.5,34.6,183.54840663276173
10.2,525.6,32.8,19.5,23.1,63.8,9.2,29.4,198.84246180277083
22.6,431.4,31.1,7.4,8.3,82.4,1.4,24.9,147.14060474285554
16.1,413.5,29.7,9.8,13.6,76.5,7.8,32.8,158.40996744864367
10.7,462.1,45.1,11.3,17.8,71.9,9.1,40.5,184.88280559980177
16.2,350.1,28.2,13.2,9.0,60.5,4.3,39.0,148.9665623224571
7.5,409.5,36.8,34.6,28.9,44.9,10.3,28.8,193.78257906849146
15.9,484.6,28.1,25.2,22.4,43.0,13.4,27.1,192.54182429193608
7.2,497.1,47.9,15.6,21.2,67.0,6.4,47.6,201.36917652904825
9.2,430.9,38.9,18.4,23.6,56.1,8.8,34.5,183.88154706429162
16.0,415.7,31.8,12.0,12.1,76.0,0.7,26.3,155.21187068037761
5.8,477.4,36.3,19.5,21.6,60.3,9.4,40.0,197.8918956748855
20.8,451.7,31.6,10.5,19.0,69.4,5.7,51.8,168.93683758902594
8.7,415.9,24.8,24.8,32.3,48.0,16.2,29.0,185.5208598939143
10.6,466.6,37.0,18.6,21.5,52.2,8.3,49.0,193.87085861579274
8.8,279.3,30.3,22.7,19.4,49.5,8.3,63.2,160.96541608766955
24.1,453.5494221,17.4,20.2,6.5,85.4,5.8,20.3,155.38595292127047
9.6,403.3,35.7,22.0,22.3,48.7,7.9,30.9,178.7323434933055
8.2,449.2,46.5,23.1,32.6,51.6,8.9,45.8,199.75740097809555
7.2,433.0,45.5,16.9,18.2,61.1,8.5,46.9,189.77170362834326
9.4,442.8,42.1,16.9,18.8,63.7,6.8,35.3,183.67527198381066
18.7,483.7,26.9,11.1,13.0,73.1,5.4,26.8,167.99363943969882
15.6,424.4,33.3,15.1,18.2,69.8,2.9,32.7,164.95272791819784
9.0,469.0,38.0,28.8,25.6,48.4,17.0,35.9,206.31199877999546
10.3,517.8,40.9,16.2,18.7,67.3,8.2,32.9,197.20170231284
19.8,346.3,26.7,14.3,19.3,58.6,7.8,38.9,148.0719119564121
16.0,275.7,34.3,10.5,11.6,72.1,2.1,52.8,134.56602062590963
7.5,455.6,40.4,27.3,32.7,44.0,17.7,45.8,209.23626262440675
12.8,449.9,27.7,15.5,26.0,55.3,6.5,38.9,178.21163173593882
14.2,453.5494221,35.4,15.7,25.9,61.7,7.4,44.2,181.6421316483361
7.1,392.5,40.6,18.2,22.6,58.8,8.8,37.5,178.62299873907645
8.5,473.4,43.1,17.2,25.7,59.8,11.7,45.1,198.52893727006415
14.2,466.8,34.0,10.6,13.9,70.9,6.8,33.8,174.37469285369474
15.8,431.1,34.5,17.7,17.6,68.4,6.2,29.9,169.94871638458258
11.4,453.1,32.6,19.8,23.9,57.4,11.7,38.8,187.88861999517513
14.6,296.2,25.3,23.6,27.9,49.5,11.3,27.5,149.89463840277293
15.6,363.9,39.0,13.4,15.7,71.6,3.3,43.0,155.78370346747712
12.4,410.4,34.6,25.5,16.0,69.6,7.0,21.7,172.4964515326078
6.0,482.7,42.3,22.8,24.4,56.5,9.2,51.4,207.51898522236513
31.6,463.9,12.6,17.7,19.7,67.3,7.5,17.9,151.03503061344693
14.5,449.8,33.2,9.4,16.4,71.8,3.8,35.0,167.85137522842467
13.7,453.5494221,29.8,13.9,12.6,76.1,9.2,43.3,176.11126585147036
20.7,463.1,22.6,32.4,13.2,76.1,8.8,17.7,174.82186121619958
14.1,392.1,29.9,14.3,16.1,67.1,6.8,39.2,162.24890959403004
30.6,432.7,15.5,6.8,6.8,81.2,3.2,34.7,137.35672824456861
8.0,339.1,36.0,21.9,22.3,57.4,8.3,36.3,167.05942916908165
7.5,463.4,35.7,21.9,22.5,60.0,10.5,29.6,192.64812587258297
21.6,423.9,20.2,11.4,17.3,66.7,9.8,28.8,154.90044628369378
9.6,483.9,44.9,14.5,16.8,68.0,7.8,37.0,191.65188623382986
10.0,400.6,42.3,12.1,14.8,75.6,3.1,14.8,160.27173858451565
9.3,496.5,41.0,13.1,20.7,68.2,7.7,37.1,192.29713772010393
9.0,419.5,32.7,20.7,22.6,55.3,9.8,20.5,177.69506808631084
16.1,336.1,32.6,14.1,14.2,76.1,0.9,49.1,146.9515520863699
13.7,473.5,34.8,15.4,19.9,67.9,10.3,30.4,182.20882820430407
7.6,496.0,45.3,21.9,23.8,59.8,9.5,54.0,209.56521675763582
17.6,472.3,23.8,12.3,18.1,69.2,11.4,32.5,172.66042995525973
12.7,396.2,37.5,15.6,23.6,53.6,11.7,45.0,175.7684578353867
12.2,451.2,41.6,13.0,21.8,67.5,4.6,56.2,183.87713807067814
16.2,436.0,36.3,10.2,12.2,78.2,2.5,25.1,160.04481451571803
7.6,466.2,37.8,19.6,24.2,58.3,12.3,30.0,193.84674962483172
15.3,382.1,31.6,15.5,24.0,54.1,10.2,40.7,165.7820160107133
25.4,372.9,18.2,9.1,8.9,81.9,3.8,29.8,131.46343009158485
25.7,489.0,22.6,9.0,15.7,71.9,9.0,27.7,162.0072856734879
14.1,486.6,31.8,12.8,14.1,71.6,5.7,36.9,179.56545274029804
10.8,418.2,36.4,21.7,20.0,57.0,6.2,41.4,181.15312131568012
6.7,472.5,47.5,13.5,19.6,65.3,7.1,44.1,194.5545906219309
11.5,358.2,31.2,22.4,28.4,50.6,12.2,24.7,166.9025134738334
18.6,466.5,26.5,19.5,18.7,66.7,9.1,29.0,174.89883644604248
16.5,473.9,31.1,15.8,22.1,58.6,6.7,31.8,178.45997136192054
17.0,434.9,34.8,10.4,11.8,78.7,4.7,28.5,160.81505614024306
24.4,418.6,17.7,12.9,18.3,65.0,7.6,27.0,149.75887168330718
9.8,368.7,33.9,21.3,20.9,64.3,16.1,51.8,178.21500456826743
6.4,332.0,36.6,22.8,31.3,50.3,11.2,40.4,172.77589464019314
11.6,514.8,50.4,10.5,16.0,75.0,5.2,47.5,195.53098494143558
10.3,408.6,36.9,24.5,26.5,49.6,11.9,40.1,186.67644006043224
18.6,429.1,24.8,9.5,19.4,67.2,8.2,48.1,163.843135125379
9.7,472.0,39.2,13.7,15.5,65.2,10.4,41.9,189.66818976272373
12.4,456.2,43.8,9.9,13.7,77.8,5.5,37.6,176.1578358362218
16.4,430.4,30.3,14.7,20.6,59.5,12.2,36.2,172.59053833540773
10.1,469.4,42.2,16.4,21.8,62.2,12.9,64.3,200.75042105289535
14.9,491.9,27.3,15.2,16.4,69.5,9.8,28.3,180.53210152563938
14.6,465.6,26.3,15.4,19.4,62.4,7.6,27.5,174.90719260201195
10.6,412.1,29.7,11.4,16.6,57.7,8.1,31.1,167.74285924247903
11.4,390.6,34.2,14.7,16.7,69.3,7.4,34.6,165.16847751727744
10.1,463.2,33.1,13.9,20.4,64.7,10.6,20.8,179.77395365318463
14.7,416.9,30.8,13.0,16.4,62.6,2.4,52.4,168.19066894296907
23.9,425.9,22.6,14.0,11.7,76.9,5.1,17.2,147.62222871291755
12.3,365.5,39.1,13.0,15.7,65.6,5.7,36.3,159.61441930002619
14.0,441.0,28.2,18.2,20.0,57.8,5.9,31.5,174.03301307610724
14.7,427.2,31.7,14.0,21.3,61.6,2.5,29.1,165.344533015895
5.4,425.5,39.2,23.4,20.6,60.6,9.0,32.9,188.90924986375558
13.6,393.1,35.3,14.8,18.8,66.5,9.2,26.2,163.37258006344908
